symbol,direction,ob_size_pct,atr_pct,rsi,price_vs_ema,candle_body_pct,upper_wick_pct,lower_wick_pct,distance_to_ob_pct,hour_of_day,label
R_75,SELL,0.003275266901957814,0.0033357379465283354,45.1596875104779,-0.0067664891122873015,0.001106223672250663,0.001101264685736248,0.001067826294240375,0.0021740192698892257,4,1
R_75,SELL,0.003315597184777659,0.00361782446382107,61.729020334857935,0.008103847298584809,0.0010456307202230636,0.0018402742005326363,0.00042969797097524947,0.00042970025375653904,23,1
R_75,SELL,0.006694820398777579,0.0037036504413188887,58.784491343819106,0.006819385065551726,0.0061796475493419165,0.00017863659362420627,0.000336520312178415,0.00033650379503343415,5,1
R_75,SELL,0.0046233250964443666,0.003823026423410204,63.68152068951642,0.011853109701009359,0.004122595670109802,4.185358301712096e-05,0.00045888126476599175,0.000458846148564961,22,1
R_75,SELL,0.0028553890569755426,0.0034294753048430123,62.91526137189384,0.011274581875761587,0.0009235183953768523,0.001460428339394732,0.0004714582894296772,0.001394961091812611,6,1
R_75,SELL,0.0035602104138959057,0.0037070368183495955,55.65218964985288,0.006132461956983459,0.0008919298673826506,0.00036744476486030413,0.002300843020337347,0.0031927549815006008,14,1
R_75,SELL,0.0038184311650551962,0.0034467488053328914,62.523900630186816,0.009801015516670184,0.0020158353551985534,0.0012381455562828656,0.0005644685642449347,0.002580291114778366,21,1
R_75,SELL,0.003889338364603614,0.003680099640913501,53.47291341362079,0.003013311076321524,0.0025793215712138855,0.0009047252998455449,0.0004053126097349105,0.00040531406147300956,18,1
R_75,SELL,0.005845634956523454,0.0036590386961895755,51.55292362852017,-0.00035871509018873556,0.0037552721959230994,0.0013686684203291508,0.0007217178244641362,0.0007216785052154947,1,1
R_75,SELL,0.004544021394188113,0.00352468558975326,58.84000146969843,0.005730917456981197,0.002304422311859749,0.0015723861717408438,0.0006671514092434419,0.0029716027107235202,1,1
R_75,SELL,0.0026252405299778954,0.003277228842692843,59.04000325578262,0.0021917317367649634,0.00027232637154245634,0.0020946835602777512,0.0002581808325193482,0.0005305300247688691,5,1
R_75,SELL,0.005852988969404564,0.0037107075240662593,75.88095940035247,0.01580156476490024,0.004610265838646923,0.0005894752875538496,0.0006532665632686726,0.0052635082334735826,2,1
R_75,BUY,0.00498844344682754,0.004343251962145474,50.352357944689025,0.0006132799011130684,0.0037886694355300917,0.0,0.001199795030208398,2.4547632588029675e-09,7,1
R_75,BUY,0.0037018869190982863,0.003276774360907061,49.162146865258016,0.0013603648289362313,0.0015915935657162049,0.000986961252093122,0.0011233632116150617,0.0009869295463540517,3,1
R_75,SELL,0.00432062744517013,0.0036580816295915717,44.816628768593866,-0.005952051367238162,0.0019464107773613465,0.0004400941430871092,0.0019341399106478677,0.0019341234239937555,6,1
R_75,SELL,0.005794085574935061,0.003332443490460605,41.85260864281668,-0.00973203700675868,0.0024007615822718847,0.002638922632554563,0.0007544524519483176,0.0007544092561201438,10,1
R_75,BUY,0.003280766779429385,0.0039855562873819216,50.91992318189982,-0.00013291957210582648,0.0013400618554574128,0.00017477052476535892,0.0017659025338038433,0.00017477921532980394,7,1
R_75,BUY,0.006153991337199791,0.003579878485037422,47.9526184060163,0.0004452756688079416,0.004176357148698715,0.0,0.0019776717214301438,0.004176330640293391,12,1
